epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,24683.5,1.25747,1.05526,1.00387,0.73175,0.71083,0.7285,0.40737,1.38428,0.77203,1.03072,0.003466,0.003466,0.003466
68,24878.4,1.25106,1.04793,0.99943,0.732,0.71644,0.73067,0.40781,1.38374,0.77119,1.03049,0.003367,0.003367,0.003367
69,25081.7,1.24472,1.04252,0.99802,0.72936,0.71871,0.73081,0.40735,1.38348,0.77053,1.03041,0.003268,0.003268,0.003268
70,25433.3,1.24317,1.04432,0.99625,0.72768,0.71711,0.72992,0.40734,1.38357,0.77,1.03042,0.003169,0.003169,0.003169
71,25783.6,1.23264,1.03727,0.99348,0.72678,0.71737,0.73129,0.40803,1.38355,0.76974,1.03031,0.00307,0.00307,0.00307
72,26108.9,1.23032,1.03749,0.9937,0.72745,0.71249,0.72952,0.40716,1.383,0.76887,1.03026,0.002971,0.002971,0.002971
73,26332.6,1.22706,1.0365,0.99258,0.72598,0.71573,0.7318,0.40811,1.38255,0.76844,1.0303,0.002872,0.002872,0.002872
74,26513.2,1.21818,1.02809,0.98934,0.72698,0.71346,0.73296,0.40833,1.38232,0.76765,1.03019,0.002773,0.002773,0.002773
75,26694.8,1.21026,1.02549,0.98693,0.72818,0.71366,0.73304,0.40793,1.38174,0.7668,1.02956,0.002674,0.002674,0.002674
76,26877,1.20579,1.01781,0.98548,0.728,0.7123,0.73254,0.40846,1.3814,0.76613,1.0295,0.002575,0.002575,0.002575
77,27058.3,1.1911,1.01721,0.9827,0.73208,0.71153,0.73272,0.40866,1.38064,0.76553,1.02947,0.002476,0.002476,0.002476
78,27238.7,1.19007,1.01538,0.98136,0.7323,0.71198,0.7326,0.40874,1.38047,0.76482,1.02942,0.002377,0.002377,0.002377
79,27420,1.19049,1.0113,0.98109,0.73393,0.71833,0.73482,0.40915,1.38006,0.76398,1.02919,0.002278,0.002278,0.002278
80,27602,1.17755,1.00505,0.97597,0.73363,0.71994,0.73498,0.41025,1.37909,0.76302,1.02878,0.002179,0.002179,0.002179
81,27784.2,1.18147,1.01066,0.97911,0.73443,0.71826,0.73568,0.41011,1.37868,0.76245,1.0285,0.00208,0.00208,0.00208
82,27965.2,1.1702,1.0037,0.97517,0.73691,0.7194,0.73649,0.41086,1.37863,0.76192,1.02847,0.001981,0.001981,0.001981
83,28147.5,1.16262,0.99518,0.97285,0.73554,0.71652,0.73433,0.41057,1.3788,0.76146,1.02842,0.001882,0.001882,0.001882
84,28329.8,1.15665,0.99215,0.97188,0.73813,0.71441,0.73454,0.41119,1.3786,0.7607,1.02831,0.001783,0.001783,0.001783
85,28511.3,1.14885,0.98823,0.96879,0.73765,0.71449,0.73356,0.41161,1.37868,0.7599,1.02845,0.001684,0.001684,0.001684
86,28693.6,1.14428,0.98685,0.96839,0.74005,0.70913,0.73288,0.41186,1.37841,0.75946,1.02828,0.001585,0.001585,0.001585
87,28876.7,1.1364,0.98624,0.96657,0.73775,0.71059,0.73327,0.41148,1.3783,0.75907,1.02844,0.001486,0.001486,0.001486
88,29057.3,1.12704,0.9783,0.96235,0.73809,0.71364,0.73367,0.41189,1.37811,0.75838,1.02803,0.001387,0.001387,0.001387
89,29239.4,1.12342,0.978,0.96288,0.73873,0.71417,0.7343,0.41169,1.37791,0.75736,1.02795,0.001288,0.001288,0.001288
90,29421.1,1.11674,0.97459,0.96075,0.74251,0.71137,0.7336,0.41162,1.37798,0.7565,1.02788,0.001189,0.001189,0.001189
91,29621.9,1.05579,0.93301,0.94507,0.74212,0.71703,0.73455,0.41195,1.37727,0.75555,1.02769,0.00109,0.00109,0.00109
92,29801.3,1.02486,0.91935,0.93789,0.74609,0.71183,0.73384,0.41211,1.37703,0.75472,1.02771,0.000991,0.000991,0.000991
93,29983.9,1.00863,0.91181,0.93305,0.74405,0.71725,0.73387,0.41264,1.37699,0.75382,1.02776,0.000892,0.000892,0.000892
94,30163,1.0016,0.90743,0.93023,0.74299,0.71855,0.73502,0.41316,1.37642,0.75343,1.02774,0.000793,0.000793,0.000793
95,30344.8,0.99164,0.90409,0.92745,0.74118,0.72233,0.73633,0.41331,1.37587,0.75259,1.02738,0.000694,0.000694,0.000694
96,30524.5,0.97952,0.89942,0.92497,0.74745,0.72354,0.73734,0.41356,1.37559,0.75211,1.0273,0.000595,0.000595,0.000595
97,30737.7,0.97203,0.89388,0.92467,0.74824,0.72368,0.73802,0.41349,1.37515,0.75124,1.02719,0.000496,0.000496,0.000496
98,30967.5,0.96377,0.88942,0.92111,0.74777,0.72506,0.73801,0.41445,1.37466,0.75071,1.02718,0.000397,0.000397,0.000397
99,31203.8,0.9542,0.88579,0.91893,0.75037,0.72574,0.73775,0.41538,1.3745,0.74953,1.02719,0.000298,0.000298,0.000298
100,31427,0.94695,0.88308,0.91766,0.75185,0.72542,0.73859,0.41558,1.37418,0.74861,1.02727,0.000199,0.000199,0.000199
